pair_id,mos,n_ratings,sd,stimulus_id,stimulus_set,condition
classical_09::pitch_shift::+2st,2.8889,9,1.167,stim_0067,matrix,pitch_shift:2
classical_09::time_stretch::-20pct,2.3333,9,1.118,stim_0068,matrix,time_stretch:-20
classical_10::distortion::drv32,2.125,8,0.641,stim_0069,matrix,distortion:32
classical_10::pitch_shift::+4st,3.0,8,0.535,stim_0070,matrix,pitch_shift:4
classical_10::time_stretch::+10pct,4.2857,7,0.488,stim_0071,matrix,time_stretch:10
classical_11::distortion::drv4,4.6667,9,0.5,stim_0072,matrix,distortion:4
classical_11::pitch_shift::-2st,3.375,8,0.518,stim_0073,matrix,pitch_shift:-2
classical_11::time_stretch::+10pct,4.1111,9,0.601,stim_0074,matrix,time_stretch:10
classical_12::lowpass::lp4000,4.0,7,1.155,stim_0075,matrix,lowpass:4000
classical_12::pitch_shift::-1st,3.4444,9,0.726,stim_0076,matrix,pitch_shift:-1
classical_12::time_stretch::+20pct,3.125,8,0.991,stim_0077,matrix,time_stretch:20
classical_14::distortion::drv12,2.5,8,0.535,stim_0078,matrix,distortion:12
classical_14::pitch_shift::+4st,3.125,8,0.354,stim_0079,matrix,pitch_shift:4
classical_14::time_stretch::-10pct,4.5,8,0.535,stim_0080,matrix,time_stretch:-10
electronic_02::distortion::drv12,3.0,9,1.118,stim_0081,matrix,distortion:12
electronic_02::pitch_shift::-1st,2.625,8,0.518,stim_0082,matrix,pitch_shift:-1
electronic_02::time_stretch::+20pct,2.7778,9,0.667,stim_0083,matrix,time_stretch:20
electronic_03::distortion::drv32,2.375,8,0.518,stim_0084,matrix,distortion:32
electronic_03::pitch_shift::+1st,3.25,8,0.463,stim_0085,matrix,pitch_shift:1
electronic_04::distortion::drv12,4.4444,9,0.527,stim_0086,matrix,distortion:12
electronic_04::time_stretch::-10pct,4.4444,9,0.882,stim_0087,matrix,time_stretch:-10
electronic_05::distortion::drv4,3.125,8,0.835,stim_0088,matrix,distortion:4
electronic_05::lowpass::lp8000,3.375,8,0.916,stim_0089,matrix,lowpass:8000
electronic_06::distortion::drv4,3.375,8,0.916,stim_0090,matrix,distortion:4
electronic_06::pitch_shift::+4st,3.25,8,0.463,stim_0091,matrix,pitch_shift:4
electronic_07::lowpass::lp2000,3.05,40,0.552,stim_0092,matrix,lowpass:2000
electronic_07::style_swap::swap_cross,1.4286,7,1.134,stim_0093,matrix,style_swap:cross_genre
electronic_07::time_stretch::+5pct,4.125,8,0.835,stim_0094,matrix,time_stretch:5
electronic_10::control::ctrl,4.5,8,0.756,stim_0095,matrix,control
electronic_10::pitch_shift::+2st,3.375,8,0.518,stim_0096,matrix,pitch_shift:2
electronic_12::lowpass::lp2000,3.3333,9,0.707,stim_0097,matrix,lowpass:2000
electronic_12::pitch_shift::-2st,3.0,9,0.866,stim_0098,matrix,pitch_shift:-2
electronic_12::time_stretch::+10pct,3.7143,7,0.488,stim_0099,matrix,time_stretch:10
electronic_13::lowpass::lp4000,3.0,8,0.535,stim_0100,matrix,lowpass:4000
electronic_13::pitch_shift::-4st,2.75,8,0.463,stim_0101,matrix,pitch_shift:-4
electronic_14::control::ctrl,4.875,8,0.354,stim_0102,matrix,control
electronic_14::time_stretch::-20pct,2.625,8,0.518,stim_0103,matrix,time_stretch:-20
electronic_15::distortion::drv32,2.75,8,1.035,stim_0104,matrix,distortion:32
electronic_15::time_stretch::-5pct,4.875,8,0.354,stim_0105,matrix,time_stretch:-5
folk_01::control::ctrl,4.625,40,0.628,stim_0106,matrix,control
folk_01::pitch_shift::+4st,2.6667,9,0.707,stim_0107,matrix,pitch_shift:4
folk_01::pitch_shift::-4st,3.0,7,0.577,stim_0108,matrix,pitch_shift:-4
folk_01::time_stretch::+10pct,3.75,8,0.886,stim_0109,matrix,time_stretch:10
folk_05::distortion::drv4,4.7143,7,0.488,stim_0110,matrix,distortion:4
folk_05::lowpass::lp8000,4.75,8,0.463,stim_0111,matrix,lowpass:8000
folk_05::pitch_shift::+1st,3.375,8,0.518,stim_0112,matrix,pitch_shift:1
folk_05::time_stretch::-20pct,3.2222,9,0.667,stim_0113,matrix,time_stretch:-20
folk_06::distortion::drv12,2.625,8,0.744,stim_0114,matrix,distortion:12
folk_06::lowpass::lp4000,3.7778,9,0.667,stim_0115,matrix,lowpass:4000
folk_06::time_stretch::+5pct,4.4286,7,0.535,stim_0116,matrix,time_stretch:5
folk_06::time_stretch::-10pct,3.625,8,1.061,stim_0117,matrix,time_stretch:-10
folk_12::lowpass::lp2000,3.125,8,0.835,stim_0118,matrix,lowpass:2000
folk_12::pitch_shift::-1st,3.25,8,0.886,stim_0119,matrix,pitch_shift:-1
folk_12::style_swap::swap_cross,1.0,8,0.0,stim_0120,matrix,style_swap:cross_genre
folk_12::time_stretch::+20pct,4.7778,9,0.441,stim_0121,matrix,time_stretch:20
folk_13::distortion::drv32,2.8571,7,0.69,stim_0122,matrix,distortion:32
folk_13::pitch_shift::+2st,2.875,8,0.835,stim_0123,matrix,pitch_shift:2
folk_13::pitch_shift::-2st,2.4444,9,0.882,stim_0124,matrix,pitch_shift:-2
folk_13::time_stretch::-5pct,4.5556,9,0.726,stim_0125,matrix,time_stretch:-5
jazz_01::pitch_shift::-2st,3.125,8,0.835,stim_0126,matrix,pitch_shift:-2
jazz_02::lowpass::lp2000,3.0,8,0.535,stim_0127,matrix,lowpass:2000
jazz_03::lowpass::lp8000,3.7143,7,0.756,stim_0128,matrix,lowpass:8000
jazz_03::time_stretch::-10pct,3.5,8,0.756,stim_0129,matrix,time_stretch:-10
jazz_04::pitch_shift::+1st,2.5556,9,1.014,stim_0130,matrix,pitch_shift:1
jazz_06::pitch_shift::-4st,3.0,8,0.535,stim_0131,matrix,pitch_shift:-4
jazz_07::distortion::drv12,2.25,40,0.63,stim_0132,matrix,distortion:12
jazz_08::lowpass::lp4000,3.25,8,0.463,stim_0133,matrix,lowpass:4000
jazz_08::time_stretch::+5pct,4.125,8,0.641,stim_0134,matrix,time_stretch:5
jazz_10::distortion::drv32,2.125,8,0.354,stim_0135,matrix,distortion:32
jazz_10::style_swap::swap_cross,1.125,8,0.354,stim_0136,matrix,style_swap:cross_genre
jazz_11::pitch_shift::+4st,3.25,8,0.707,stim_0137,matrix,pitch_shift:4
jazz_11::time_stretch::+20pct,3.25,8,0.707,stim_0138,matrix,time_stretch:20
jazz_12::control::ctrl,4.725,40,0.452,stim_0139,matrix,control
jazz_12::time_stretch::-20pct,3.2,40,0.758,stim_0140,matrix,time_stretch:-20
jazz_13::distortion::drv4,4.0,8,1.069,stim_0141,matrix,distortion:4
jazz_13::time_stretch::+10pct,3.5,8,0.535,stim_0142,matrix,time_stretch:10
jazz_14::pitch_shift::+2st,3.2857,7,0.756,stim_0143,matrix,pitch_shift:2
jazz_15::pitch_shift::-1st,3.5714,7,0.976,stim_0144,matrix,pitch_shift:-1
jazz_15::time_stretch::-5pct,4.8571,7,0.378,stim_0145,matrix,time_stretch:-5
rock_01::distortion::drv12,2.1667,6,0.408,stim_0171,matrix,distortion:12
rock_01::pitch_shift::+2st,3.125,8,0.354,stim_0172,matrix,pitch_shift:2
rock_01::time_stretch::-20pct,3.2857,7,0.756,stim_0173,matrix,time_stretch:-20
rock_04::lowpass::lp4000,3.25,8,0.707,stim_0174,matrix,lowpass:4000
rock_04::pitch_shift::+4st,3.2222,9,0.441,stim_0175,matrix,pitch_shift:4
rock_04::pitch_shift::-2st,3.8571,7,0.9,stim_0176,matrix,pitch_shift:-2
rock_04::time_stretch::+5pct,4.125,8,0.991,stim_0177,matrix,time_stretch:5
rock_05::control::ctrl,4.8889,9,0.333,stim_0178,matrix,control
rock_05::lowpass::lp8000,3.85,40,0.736,stim_0179,matrix,lowpass:8000
rock_05::style_swap::swap_cross,1.0,7,0.0,stim_0180,matrix,style_swap:cross_genre
rock_05::time_stretch::+20pct,3.4286,7,0.535,stim_0181,matrix,time_stretch:20
rock_06::distortion::drv32,2.4444,9,1.13,stim_0182,matrix,distortion:32
rock_06::pitch_shift::+1st,3.425,40,0.594,stim_0183,matrix,pitch_shift:1
rock_06::time_stretch::+10pct,3.2222,9,0.833,stim_0184,matrix,time_stretch:10
rock_11::distortion::drv4,3.5556,9,1.236,stim_0185,matrix,distortion:4
rock_11::pitch_shift::-4st,3.25,8,0.707,stim_0186,matrix,pitch_shift:-4
rock_11::time_stretch::-5pct,4.625,8,0.518,stim_0187,matrix,time_stretch:-5
rock_13::lowpass::lp2000,3.1429,7,0.69,stim_0188,matrix,lowpass:2000
rock_13::pitch_shift::-1st,2.75,8,0.707,stim_0189,matrix,pitch_shift:-1
rock_13::time_stretch::-10pct,4.0,8,1.069,stim_0190,matrix,time_stretch:-10
