pair_id,mos,n_ratings,sd,stimulus_id,stimulus_set,condition
ambient_12::pitch_shift::-2st,2.875,8,0.641,stim_0032,matrix,pitch_shift:-2
ambient_12::time_stretch::+20pct,3.625,8,0.744,stim_0033,matrix,time_stretch:20
ambient_13::distortion::drv4,4.5,8,0.535,stim_0034,matrix,distortion:4
ambient_13::pitch_shift::-4st,2.375,8,0.916,stim_0035,matrix,pitch_shift:-4
ambient_14::distortion::drv32,2.625,8,1.188,stim_0036,matrix,distortion:32
ambient_14::pitch_shift::+1st,2.375,8,0.916,stim_0037,matrix,pitch_shift:1
ambient_14::time_stretch::-20pct,3.875,8,0.991,stim_0038,matrix,time_stretch:-20
ambient_15::distortion::drv4,4.25,8,0.707,stim_0039,matrix,distortion:4
ambient_15::time_stretch::-10pct,3.875,8,0.835,stim_0040,matrix,time_stretch:-10
classical_01::lowpass::lp8000,4.25,8,1.389,stim_0041,matrix,lowpass:8000
classical_01::style_swap::swap_cross,2.125,8,0.835,stim_0042,matrix,style_swap:cross_genre
classical_01::time_stretch::-20pct,4.375,8,0.916,stim_0043,matrix,time_stretch:-20
classical_02::distortion::drv32,3.625,40,0.979,stim_0044,matrix,distortion:32
classical_02::pitch_shift::+2st,3.5,8,0.756,stim_0045,matrix,pitch_shift:2
classical_02::time_stretch::-5pct,4.375,8,0.744,stim_0046,matrix,time_stretch:-5
classical_03::lowpass::lp4000,4.625,40,0.838,stim_0047,matrix,lowpass:4000
classical_03::time_stretch::+10pct,4.375,8,0.518,stim_0048,matrix,time_stretch:10
classical_03::time_stretch::-10pct,4.125,8,0.835,stim_0049,matrix,time_stretch:-10
classical_04::lowpass::lp8000,3.625,8,0.916,stim_0050,matrix,lowpass:8000
classical_04::pitch_shift::-4st,3.75,8,1.035,stim_0051,matrix,pitch_shift:-4
classical_04::time_stretch::-20pct,4.0,8,0.926,stim_0052,matrix,time_stretch:-20
classical_05::pitch_shift::+4st,2.625,8,0.916,stim_0053,matrix,pitch_shift:4
classical_05::pitch_shift::-1st,3.25,8,1.282,stim_0054,matrix,pitch_shift:-1
classical_06::lowpass::lp4000,3.25,8,1.035,stim_0055,matrix,lowpass:4000
classical_06::style_swap::swap_cross,2.125,8,0.641,stim_0056,matrix,style_swap:cross_genre
classical_07::control::ctrl,4.425,40,0.747,stim_0057,matrix,control
classical_07::pitch_shift::+1st,3.25,8,1.389,stim_0058,matrix,pitch_shift:1
classical_07::time_stretch::-5pct,3.5,8,1.604,stim_0059,matrix,time_stretch:-5
classical_08::control::ctrl,4.625,40,0.774,stim_0060,matrix,control
classical_08::pitch_shift::+1st,3.375,8,0.744,stim_0061,matrix,pitch_shift:1
classical_08::time_stretch::+20pct,4.125,8,0.991,stim_0062,matrix,time_stretch:20
classical_09::lowpass::lp2000,3.0,40,0.934,stim_0063,matrix,lowpass:2000
classical_09::time_stretch::-10pct,3.75,8,0.463,stim_0064,matrix,time_stretch:-10
classical_10::lowpass::lp2000,3.25,8,0.886,stim_0065,matrix,lowpass:2000
classical_10::pitch_shift::-2st,3.375,8,1.302,stim_0066,matrix,pitch_shift:-2
classical_10::time_stretch::+5pct,4.5,40,0.555,stim_0067,matrix,time_stretch:5
classical_11::distortion::drv12,4.125,8,0.835,stim_0068,matrix,distortion:12
classical_11::pitch_shift::-2st,2.75,8,0.707,stim_0069,matrix,pitch_shift:-2
classical_11::time_stretch::+20pct,4.25,8,0.886,stim_0070,matrix,time_stretch:20
classical_12::distortion::drv4,4.45,40,0.959,stim_0071,matrix,distortion:4
classical_12::pitch_shift::-4st,2.875,8,0.354,stim_0072,matrix,pitch_shift:-4
classical_12::time_stretch::+5pct,4.5,8,0.756,stim_0073,matrix,time_stretch:5
classical_13::distortion::drv12,4.0,8,0.535,stim_0074,matrix,distortion:12
classical_13::pitch_shift::+4st,2.375,8,0.744,stim_0075,matrix,pitch_shift:4
classical_14::distortion::drv4,4.5,8,0.756,stim_0076,matrix,distortion:4
classical_14::pitch_shift::+2st,3.375,8,0.744,stim_0077,matrix,pitch_shift:2
classical_14::time_stretch::+10pct,4.125,8,0.641,stim_0078,matrix,time_stretch:10
classical_15::distortion::drv32,4.625,8,0.744,stim_0079,matrix,distortion:32
classical_15::pitch_shift::-1st,4.0,8,1.414,stim_0080,matrix,pitch_shift:-1
electronic_01::distortion::drv32,4.125,8,0.991,stim_0081,matrix,distortion:32
electronic_01::time_stretch::+5pct,3.875,8,1.356,stim_0082,matrix,time_stretch:5
electronic_02::lowpass::lp4000,3.25,8,1.165,stim_0083,matrix,lowpass:4000
electronic_03::pitch_shift::-2st,3.625,8,0.744,stim_0084,matrix,pitch_shift:-2
electronic_04::pitch_shift::-1st,3.875,8,0.835,stim_0085,matrix,pitch_shift:-1
electronic_05::distortion::drv4,4.5,8,0.756,stim_0086,matrix,distortion:4
electronic_05::time_stretch::-5pct,4.25,8,0.707,stim_0087,matrix,time_stretch:-5
electronic_06::lowpass::lp2000,2.875,8,0.641,stim_0088,matrix,lowpass:2000
electronic_06::time_stretch::+10pct,3.625,8,0.518,stim_0089,matrix,time_stretch:10
electronic_07::distortion::drv4,3.5,8,0.756,stim_0090,matrix,distortion:4
electronic_07::style_swap::swap_cross,1.75,8,0.707,stim_0091,matrix,style_swap:cross_genre
electronic_08::lowpass::lp2000,3.375,8,0.916,stim_0092,matrix,lowpass:2000
electronic_08::time_stretch::-20pct,3.375,8,0.744,stim_0093,matrix,time_stretch:-20
electronic_09::distortion::drv12,2.875,8,0.835,stim_0094,matrix,distortion:12
electronic_09::pitch_shift::+1st,4.375,8,0.518,stim_0095,matrix,pitch_shift:1
electronic_10::control::ctrl,4.575,40,0.549,stim_0096,matrix,control
electronic_10::time_stretch::+20pct,3.75,8,0.463,stim_0097,matrix,time_stretch:20
electronic_11::distortion::drv12,2.625,8,0.744,stim_0098,matrix,distortion:12
electronic_12::distortion::drv32,3.125,8,0.835,stim_0099,matrix,distortion:32
electronic_12::time_stretch::-10pct,2.6,40,0.778,stim_0100,matrix,time_stretch:-10
electronic_13::lowpass::lp8000,4.125,8,0.835,stim_0101,matrix,lowpass:8000
electronic_14::control::ctrl,4.5,8,0.535,stim_0102,matrix,control
electronic_14::pitch_shift::+2st,3.875,8,0.991,stim_0103,matrix,pitch_shift:2
electronic_15::pitch_shift::+4st,2.25,8,0.707,stim_0104,matrix,pitch_shift:4
electronic_15::pitch_shift::-4st,2.875,8,0.641,stim_0105,matrix,pitch_shift:-4
folk_01::pitch_shift::-2st,3.5,8,0.535,stim_0106,matrix,pitch_shift:-2
folk_01::time_stretch::+10pct,3.5,8,0.756,stim_0107,matrix,time_stretch:10
folk_02::pitch_shift::+2st,3.875,8,0.641,stim_0108,matrix,pitch_shift:2
folk_03::style_swap::swap_cross,2.0,8,0.535,stim_0109,matrix,style_swap:cross_genre
folk_03::time_stretch::-5pct,4.125,8,0.835,stim_0110,matrix,time_stretch:-5
folk_04::pitch_shift::-1st,3.875,8,0.641,stim_0111,matrix,pitch_shift:-1
folk_05::distortion::drv4,4.25,8,0.707,stim_0112,matrix,distortion:4
folk_06::pitch_shift::-4st,1.95,40,0.904,stim_0113,matrix,pitch_shift:-4
folk_07::pitch_shift::+1st,3.5,8,0.926,stim_0114,matrix,pitch_shift:1
folk_08::lowpass::lp2000,3.25,8,0.707,stim_0115,matrix,lowpass:2000
folk_08::time_stretch::+20pct,3.75,8,1.282,stim_0116,matrix,time_stretch:20
folk_09::time_stretch::-10pct,4.125,8,0.835,stim_0117,matrix,time_stretch:-10
folk_10::lowpass::lp8000,3.5,8,0.756,stim_0118,matrix,lowpass:8000
folk_11::control::ctrl,4.5,8,0.535,stim_0119,matrix,control
folk_12::pitch_shift::+4st,2.875,8,0.991,stim_0120,matrix,pitch_shift:4
folk_12::time_stretch::+5pct,3.25,8,0.886,stim_0121,matrix,time_stretch:5
folk_13::lowpass::lp4000,2.375,8,0.916,stim_0122,matrix,lowpass:4000
folk_13::time_stretch::-20pct,3.875,8,0.991,stim_0123,matrix,time_stretch:-20
folk_14::distortion::drv32,2.75,8,1.165,stim_0124,matrix,distortion:32
folk_15::distortion::drv12,3.75,8,0.707,stim_0125,matrix,distortion:12
jazz_01::pitch_shift::+4st,3.25,8,1.282,stim_0126,matrix,pitch_shift:4
jazz_01::time_stretch::-5pct,3.875,8,0.835,stim_0127,matrix,time_stretch:-5
jazz_02::control::ctrl,4.5,8,0.756,stim_0128,matrix,control
jazz_03::time_stretch::+10pct,3.25,8,1.165,stim_0129,matrix,time_stretch:10
jazz_03::time_stretch::-10pct,3.375,8,0.916,stim_0130,matrix,time_stretch:-10
jazz_04::distortion::drv4,3.375,8,0.916,stim_0131,matrix,distortion:4
jazz_05::lowpass::lp8000,4.125,8,1.458,stim_0132,matrix,lowpass:8000
jazz_06::distortion::drv32,3.125,8,0.991,stim_0133,matrix,distortion:32
jazz_06::time_stretch::-20pct,2.875,8,0.641,stim_0134,matrix,time_stretch:-20
jazz_07::style_swap::swap_cross,2.0,8,1.309,stim_0135,matrix,style_swap:cross_genre
jazz_08::lowpass::lp4000,4.125,8,0.835,stim_0136,matrix,lowpass:4000
jazz_09::pitch_shift::-4st,3.0,8,0.756,stim_0137,matrix,pitch_shift:-4
jazz_10::lowpass::lp2000,2.75,8,0.707,stim_0138,matrix,lowpass:2000
jazz_11::pitch_shift::+2st,4.625,8,0.518,stim_0139,matrix,pitch_shift:2
jazz_11::time_stretch::+20pct,3.5,8,1.512,stim_0140,matrix,time_stretch:20
jazz_12::pitch_shift::-2st,4.125,8,0.835,stim_0141,matrix,pitch_shift:-2
jazz_12::time_stretch::+5pct,4.125,8,0.835,stim_0142,matrix,time_stretch:5
jazz_13::pitch_shift::-1st,4.4,40,0.871,stim_0143,matrix,pitch_shift:-1
jazz_14::pitch_shift::+1st,3.875,8,0.991,stim_0144,matrix,pitch_shift:1
jazz_15::distortion::drv12,3.375,8,0.744,stim_0145,matrix,distortion:12
rerank_ace/s01::cand04,2.75,8,0.886,stim_0146,ai_rerank,ai_rerank_winner:0
rerank_ace/s01::cand07,2.125,8,0.991,stim_0147,ai_rerank,ai_rerank_loser:0
rerank_ace/s02::cand01,3.625,8,0.916,stim_0148,ai_rerank,ai_rerank_winner:0
rerank_ace/s02::cand04,3.75,8,1.165,stim_0149,ai_rerank,ai_rerank_loser:0
rerank_ace/s03::cand02,2.875,8,0.641,stim_0150,ai_rerank,ai_rerank_winner:0
rerank_ace/s03::cand06,2.5,8,0.535,stim_0151,ai_rerank,ai_rerank_loser:0
rerank_ace/s04::cand03,2.25,8,0.886,stim_0152,ai_rerank,ai_rerank_loser:0
rerank_ace/s04::cand07,3.5,8,0.926,stim_0153,ai_rerank,ai_rerank_winner:0
rerank_ace/s05::cand01,3.5,8,0.926,stim_0154,ai_rerank,ai_rerank_winner:0
rerank_ace/s05::cand07,3.625,8,0.518,stim_0155,ai_rerank,ai_rerank_loser:0
rerank_ace/s06::cand01,1.875,8,0.641,stim_0156,ai_rerank,ai_rerank_loser:0
rerank_ace/s06::cand02,3.625,8,0.744,stim_0157,ai_rerank,ai_rerank_winner:0
rerank_ace/s07::cand04,3.5,8,0.756,stim_0158,ai_rerank,ai_rerank_loser:0
rerank_ace/s07::cand06,3.875,8,1.356,stim_0159,ai_rerank,ai_rerank_winner:0
rerank_ace/s08::cand02,3.75,8,1.035,stim_0160,ai_rerank,ai_rerank_loser:0
rerank_ace/s08::cand05,3.375,8,1.061,stim_0161,ai_rerank,ai_rerank_winner:0
rerank_ace/s09::cand05,2.625,8,0.518,stim_0162,ai_rerank,ai_rerank_loser:0
rerank_ace/s09::cand07,3.625,8,0.518,stim_0163,ai_rerank,ai_rerank_winner:0
rerank_ace/s10::cand02,2.75,8,0.886,stim_0164,ai_rerank,ai_rerank_winner:0
rerank_ace/s10::cand07,2.25,8,0.463,stim_0165,ai_rerank,ai_rerank_loser:0
rerank_ace/s11::cand02,3.375,8,1.302,stim_0166,ai_rerank,ai_rerank_winner:0
rerank_ace/s12::cand00,2.875,8,1.356,stim_0167,ai_rerank,ai_rerank_winner:0
rerank_ace/s13::cand06,2.625,8,0.916,stim_0168,ai_rerank,ai_rerank_loser:0
rerank_ace/s14::cand04,3.375,8,0.744,stim_0169,ai_rerank,ai_rerank_winner:0
rerank_ace/s15::cand01,3.125,8,0.991,stim_0170,ai_rerank,ai_rerank_winner:0
rock_01::pitch_shift::+1st,4.125,8,0.641,stim_0171,matrix,pitch_shift:1
rock_02::lowpass::lp2000,2.725,40,0.96,stim_0172,matrix,lowpass:2000
rock_03::distortion::drv4,4.125,8,0.835,stim_0173,matrix,distortion:4
rock_04::lowpass::lp8000,3.5,8,1.195,stim_0174,matrix,lowpass:8000
rock_04::time_stretch::+5pct,3.0,8,0.926,stim_0175,matrix,time_stretch:5
rock_05::lowpass::lp4000,2.625,8,0.916,stim_0176,matrix,lowpass:4000
rock_05::time_stretch::-20pct,2.375,8,1.061,stim_0177,matrix,time_stretch:-20
rock_06::control::ctrl,4.5,8,1.069,stim_0178,matrix,control
rock_07::distortion::drv32,1.95,40,0.846,stim_0179,matrix,distortion:32
rock_08::style_swap::swap_cross,1.425,40,0.781,stim_0180,matrix,style_swap:cross_genre
rock_08::time_stretch::-5pct,3.875,8,1.246,stim_0181,matrix,time_stretch:-5
rock_09::distortion::drv12,3.5,8,0.535,stim_0182,matrix,distortion:12
rock_10::pitch_shift::-1st,4.0,8,1.195,stim_0183,matrix,pitch_shift:-1
rock_10::time_stretch::+10pct,3.75,8,0.463,stim_0184,matrix,time_stretch:10
rock_11::pitch_shift::-4st,3.125,8,0.354,stim_0185,matrix,pitch_shift:-4
rock_11::time_stretch::+20pct,3.0,8,0.756,stim_0186,matrix,time_stretch:20
rock_12::time_stretch::-10pct,3.5,8,0.926,stim_0187,matrix,time_stretch:-10
rock_13::pitch_shift::-2st,3.375,8,1.061,stim_0188,matrix,pitch_shift:-2
rock_14::pitch_shift::+4st,3.75,8,0.463,stim_0189,matrix,pitch_shift:4
rock_15::pitch_shift::+2st,3.75,8,1.282,stim_0190,matrix,pitch_shift:2
